SR No,LRNo,LRDate,NoOfBox,Weight,InvoiceNumber,InvoiceDate,PartyName,CityName,District,State,Amount,TransportName,Remark
688,274885681,3/15/2025 18:34,6,70.2,DHL/24-25/15865,3/13/2025 14:21,ASIMA ENTERPRISES,BHAWANIPATNA,KALAHANDI,Odisha,28320,DELHIVERY,All others ODA
689,274885681,3/15/2025 18:34,8,93.6,DHL/24-25/15866,3/13/2025 14:22,ASIMA ENTERPRISES,BHAWANIPATNA,KALAHANDI,Odisha,37760,DELHIVERY,All others ODA
690,274885681,3/15/2025 18:34,2,3.6,DHL/24-25/15894,3/15/2025 11:42,ASIMA ENTERPRISES,BHAWANIPATNA,KALAHANDI,Odisha,10124.4,DELHIVERY,All others ODA
691,274885681,3/15/2025 18:34,2,4.4,DHL/24-25/15894,3/15/2025 11:42,ASIMA ENTERPRISES,BHAWANIPATNA,KALAHANDI,Odisha,10926.8,DELHIVERY,All others ODA
692,274885681,3/15/2025 18:34,2,4.4,DHL/24-25/15894,3/15/2025 11:42,ASIMA ENTERPRISES,BHAWANIPATNA,KALAHANDI,Odisha,5428,DELHIVERY,All others ODA
693,274885465,3/15/2025 18:32,20,35,DHL/24-25/15819,3/13/2025 9:47,Bhagyalaxmi Weigh Engineers,Silvassa,Silvassa,Dadra And Nagar Haveli And Daman And Diu,23600,DELHIVERY,All others ODA
694,274885465,3/15/2025 18:32,10,18,DHL/24-25/15826,3/13/2025 10:06,Bhagyalaxmi Weigh Engineers,Silvassa,Silvassa,Dadra And Nagar Haveli And Daman And Diu,16520,DELHIVERY,All others ODA
695,274889814,3/15/2025 18:29,2,11.6,DHL/24-25/15854,3/13/2025 14:09,Radheshyam Sales,JAORA,RATLAM,Madhya Pradesh,5782,DELHIVERY,All others ODA
696,274889814,3/15/2025 18:29,1,15.3,DHL/24-25/15876,3/13/2025 14:36,Radheshyam Sales,JAORA,RATLAM,Madhya Pradesh,6436.9,DELHIVERY,All others ODA
697,274889814,3/15/2025 18:29,1,2.4,DHL/24-25/15903,3/15/2025 14:39,Radheshyam Sales,JAORA,RATLAM,Madhya Pradesh,4135.9,DELHIVERY,All others ODA
698,274889185,3/15/2025 18:26,1,5.8,DHL/24-25/15856,3/13/2025 14:12,Mahaveer Electricals,Kishangarh,Ajmer,Rajasthan,2973.6,DELHIVERY,All others ODA
699,274888858,3/15/2025 18:26,8,36.8,DHL/24-25/15824,3/13/2025 10:01,SHREE SHYAM AGENCIES,RAMGARH CANTT,RAMGARH CANTT,Jharkhand,24591.2,DELHIVERY,All others ODA
700,274885270,3/15/2025 18:23,1,5.8,DHL/24-25/15853,3/13/2025 14:09,PALIWAL INSTRUMENT,BURHANPUR,Burhanpur,Madhya Pradesh,2973.6,DELHIVERY,All others ODA
701,274889556,3/15/2025 18:21,2,4.6,DHL/24-25/15812,3/13/2025 9:39,PATNESWARI ENTERPRIES,Balangir,BALANGIR,Odisha,10148,DELHIVERY,All others ODA
702,274889556,3/15/2025 18:21,1,4.6,DHL/24-25/15812,3/13/2025 9:39,PATNESWARI ENTERPRIES,Balangir,BALANGIR,Odisha,2973.6,DELHIVERY,All others ODA
703,274887482,3/15/2025 18:20,1,15.5,DHL/24-25/15908,3/15/2025 15:04,SHAKEEB MK SUFAH,KANNUR,KANNUR,Kerala,7670,DELHIVERY,All others ODA
717,158078423,3/13/2025 18:02,1,6.9,DHL/24-25/15884,3/13/2025 16:13,Maa Kali Enterprise,Agartala,West Tripura,Tripura,11422.4,GATI,All others ODA
